File,Year,Average Data,Is Leap Year
29 best from 1110 c.xlsx,1987,7.307579909,FALSE
29 best from 1110 c.xlsx,1988,5.808124621,TRUE
29 best from 1110 c.xlsx,1989,4.732701674,FALSE
29 best from 1110 c.xlsx,1990,4.747716895,FALSE
29 best from 1110 c.xlsx,1991,4.576773212,FALSE
29 best from 1110 c.xlsx,1992,3.268969555,TRUE
29 best from 1110 c.xlsx,1993,5.423365949,FALSE
29 best from 1110 c.xlsx,1994,3.634452055,FALSE
29 best from 1110 c.xlsx,1995,5.216468798,FALSE
29 best from 1110 c.xlsx,1996,4.95702793,TRUE
29 best from 1110 c.xlsx,1997,4.751272016,FALSE
29 best from 1110 c.xlsx,1998,5.553424658,FALSE
29 best from 1110 c.xlsx,1999,5.143561644,FALSE
29 best from 1110 c.xlsx,2000,3.790163934,TRUE
29 best from 1110 c.xlsx,2001,5.859310176,FALSE
29 best from 1110 c.xlsx,2002,5.509843444,FALSE
29 best from 1110 c.xlsx,2003,4.818938356,FALSE
29 best from 1110 c.xlsx,2004,6.321645416,TRUE
29 best from 1110 c.xlsx,2005,4.007945205,FALSE
29 best from 1110 c.xlsx,2006,4.405153294,FALSE
29 best from 1110 c.xlsx,2007,5.427866928,FALSE
29 best from 1110 c.xlsx,2008,4.074043716,TRUE
29 best from 1110 c.xlsx,2009,2.644657534,FALSE
29 best from 1111 c.xlsx,1981,3.311545988,FALSE
29 best from 1111 c.xlsx,1982,1.590410959,FALSE
29 best from 1111 c.xlsx,1983,4.817956621,FALSE
29 best from 1111 c.xlsx,1984,4.996174863,TRUE
29 best from 1111 c.xlsx,1985,5.311506849,FALSE
29 best from 1111 c.xlsx,1986,3.510410959,FALSE
29 best from 1111 c.xlsx,1987,6.544383562,FALSE
29 best from 1111 c.xlsx,1988,5.625136612,TRUE
29 best from 1111 c.xlsx,1989,3.858082192,FALSE
29 best from 1111 c.xlsx,1990,3.737260274,FALSE
29 best from 1111 c.xlsx,1991,2.987123288,FALSE
29 best from 1111 c.xlsx,1992,2.837909836,TRUE
29 best from 1111 c.xlsx,1993,3.935890411,FALSE
29 best from 1111 c.xlsx,1994,3.296712329,FALSE
29 best from 1111 c.xlsx,1995,3.662442922,FALSE
29 best from 1111 c.xlsx,1996,3.718032787,TRUE
29 best from 1111 c.xlsx,1997,4.573493151,FALSE
29 best from 1111 c.xlsx,1998,5.744505327,FALSE
29 best from 1111 c.xlsx,1999,5.083493151,FALSE
29 best from 1111 c.xlsx,2000,4.36216606,TRUE
29 best from 1111 c.xlsx,2001,4.998021309,FALSE
29 best from 1111 c.xlsx,2002,4.482842466,FALSE
29 best from 1111 c.xlsx,2003,5.576139922,FALSE
29 best from 1111 c.xlsx,2004,6.019793564,TRUE
29 best from 1111 c.xlsx,2005,3.641651446,FALSE
29 best from 1111 c.xlsx,2006,3.561986301,FALSE
29 best from 1111 c.xlsx,2007,7.022191781,FALSE
29 best from 1111 c.xlsx,2008,3.307650273,TRUE
29 best from 1111 c.xlsx,2009,3.628858447,FALSE
29 best from 903 c.xlsx,1981,5.652304305,FALSE
29 best from 903 c.xlsx,1982,4.919970646,FALSE
29 best from 903 c.xlsx,1983,5.396497717,FALSE
29 best from 903 c.xlsx,1984,6.628168098,TRUE
29 best from 903 c.xlsx,1985,6.702480431,FALSE
29 best from 903 c.xlsx,1986,5.84112818,FALSE
29 best from 903 c.xlsx,1987,5.097310176,FALSE
29 best from 903 c.xlsx,1988,4.315383489,TRUE
29 best from 903 c.xlsx,1989,4.753816047,FALSE
29 best from 903 c.xlsx,1990,5.584608611,FALSE
29 best from 903 c.xlsx,1991,2.45260274,FALSE
29 best from 903 c.xlsx,1992,3.067837627,TRUE
29 best from 903 c.xlsx,1993,3.096599804,FALSE
29 best from 903 c.xlsx,1994,6.658546967,FALSE
29 best from 903 c.xlsx,1995,5.612558708,FALSE
29 best from 903 c.xlsx,1996,4.919994145,TRUE
29 best from 903 c.xlsx,1997,5.723269733,FALSE
29 best from 903 c.xlsx,1998,6.934246575,FALSE
29 best from 903 c.xlsx,1999,8.002294521,FALSE
29 best from 903 c.xlsx,2000,6.026058743,TRUE
29 best from 903 c.xlsx,2001,6.735748532,FALSE
29 best from 903 c.xlsx,2002,6.96952381,FALSE
29 best from 903 c.xlsx,2003,7.349486301,FALSE
29 best from 903 c.xlsx,2004,6.720008782,TRUE
29 best from 903 c.xlsx,2005,5.912020548,FALSE
29 best from 903 c.xlsx,2006,5.350781148,FALSE
29 best from 903 c.xlsx,2007,8.113664384,FALSE
29 best from 903 c.xlsx,2008,4.538690476,TRUE
29 best from 903 c.xlsx,2009,5.60303816,FALSE
29 best from 909 c.xlsx,1981,5.996438356,FALSE
29 best from 909 c.xlsx,1982,4.170136986,FALSE
29 best from 909 c.xlsx,1983,3.648712329,FALSE
29 best from 909 c.xlsx,1984,5.757650273,TRUE
29 best from 909 c.xlsx,1985,8.127123288,FALSE
29 best from 909 c.xlsx,1986,5.944383562,FALSE
29 best from 909 c.xlsx,1987,6.558538813,FALSE
29 best from 909 c.xlsx,1988,5.360418944,TRUE
29 best from 909 c.xlsx,1989,3.80860274,FALSE
29 best from 909 c.xlsx,1990,4.972126549,FALSE
29 best from 909 c.xlsx,1991,5.441598174,FALSE
29 best from 909 c.xlsx,1992,3.969368549,TRUE
29 best from 909 c.xlsx,1993,4.356377473,FALSE
29 best from 909 c.xlsx,1994,3.731141553,FALSE
29 best from 909 c.xlsx,1995,3.684774951,FALSE
29 best from 909 c.xlsx,1996,4.369311844,TRUE
29 best from 909 c.xlsx,1997,4.923171885,FALSE
29 best from 909 c.xlsx,1998,7.805049467,FALSE
29 best from 909 c.xlsx,1999,5.744443901,FALSE
29 best from 909 c.xlsx,2000,5.958502472,TRUE
29 best from 909 c.xlsx,2001,6.405182648,FALSE
29 best from 909 c.xlsx,2002,5.579094912,FALSE
